model,label,support,applicable_rows,prevalence,threshold,pr_auc,roc_auc,precision,recall,f1,brier
baseline0_prevalence,ENGINE_OIL_CHANGE,4402,5349,0.823,0.01,0.823,0.5,0.823,1.0,0.9029,0.1538
baseline0_prevalence,BATTERY_TEST,1262,5354,0.2357,0.01,0.2357,0.5,0.2357,1.0,0.3815,0.1934
baseline0_prevalence,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.01,0.2339,0.5,0.2339,1.0,0.3791,0.1924
baseline0_prevalence,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.01,0.2038,0.5,0.2038,1.0,0.3386,0.1733
baseline0_prevalence,AIR_FILTER_CHANGE,1054,5349,0.197,0.01,0.197,0.5,0.197,1.0,0.3292,0.1669
baseline0_prevalence,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.01,0.1957,0.5,0.1957,1.0,0.3274,0.1644
baseline0_prevalence,CHAIN_CLEAN,853,1858,0.4591,0.01,0.4591,0.5,0.4591,1.0,0.6293,0.2989
baseline0_prevalence,CHAIN_LUBRICATE,698,1858,0.3757,0.01,0.3757,0.5,0.3757,1.0,0.5462,0.2701
baseline0_prevalence,CHAIN_INSPECTION,403,1858,0.2169,0.01,0.2169,0.5,0.2169,1.0,0.3565,0.1794
baseline0_prevalence,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.01,0.0762,0.5,0.0762,1.0,0.1416,0.0719
baseline0_prevalence,FORK_INSPECTION,413,5354,0.0771,0.01,0.0771,0.5,0.0771,1.0,0.1432,0.0725
baseline0_prevalence,CVT_BELT_INSPECTION,388,2980,0.1302,0.01,0.1302,0.5,0.1302,1.0,0.2304,0.1136
baseline0_prevalence,CVT_CASE_INSPECTION,419,2980,0.1406,0.01,0.1406,0.5,0.1406,1.0,0.2465,0.1219
baseline0_prevalence,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.01,0.0558,0.5,0.0558,1.0,0.1058,0.0535
baseline0_prevalence,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.01,0.0966,0.5,0.0966,1.0,0.1763,0.0876
baseline0_prevalence,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.01,0.0518,0.5,0.0518,1.0,0.0985,0.0497
